RecipeName,Calories,Protein,Carbohydrates,Fat,Ingredients,Instructions,DietType
Masala Karela Recipe,82.6329,1.8851,6.8021,5.2553,"salt,amchur (dry mango powder),karela (bitter gourd pavakkai),red chilli powder,gram flour (besan),onion,cumin seeds (jeera),coriander powder,turmeric powder,sunflower oil","To begin making the Masala Karela Recipe,de-seed the karela and slice.
Do not remove the skin as the skin has all the nutrients.
Add the karela to the pressure cooker with 3 tablespoon of water, salt and turmeric powder and pressure cook for three whistles.
Release the pressure immediately and open the lids.
Keep aside.Heat oil in a heavy bottomed pan or a kadhai.
Add cumin seeds and let it sizzle.Once the cumin seeds have sizzled, add onions and saute them till it turns golden brown in color.Add the karela, red chilli powder, amchur powder, coriander powder and besan.
Stir to combine the masalas into the karela.Drizzle a little extra oil on the top and mix again.
Cover the pan and simmer Masala Karela stirring occasionally until everything comes together well.
Turn off the heat.Transfer Masala Karela into a serving bowl and serve.Serve Masala Karela along with Panchmel Dal and Phulka for a weekday meal with your family.",Unknown
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,164.7172,17.0475,1.7002,10.2763,"green chillies,ginger,bay leaf (tej patta),coriander (dhania) leaves,mint leaves (pudina),cloves garlic,cinnamon stick (dalchini),onion,coriander powder,eggs,cloves (laung),garam masala powder,sunflower oil","To begin making the Hariyali Egg Curry recipe, we will first make the Hariyali Masala.Into the Mixer Grinder (medium jar), add the Coriander leaves mint leaves, Green Chillies and 1/2 cup water.
Blend all of them together to make a smooth paste and keep aside.Into the small jar of the mixer grinder, add the onions, ginger and garlic and grind to make a paste.
Heat 1 tablespoon oil in a kadai over medium heat, add the Bay leaf (tej patta), Cloves, Cinnamon Stick and roast for a few seconds.
Add the Onion ginger garlic paste.Saute for 4 to 5 minutes until raw onion smell goes away.Once the onions are roasted, add garam masala powder, coriander powder and saute for a few seconds.Add the Hariyali Coriander Mint Mixture, the fresh cream and the 4 Boiled eggs.Add water if required to adjust the consistency of the Hariyali Egg Curry.
 Cover & simmer the Hariyali Egg Curry for 5 minutes.Check the salt and spices and adjust to according to your taste and transfer the Hariyali Egg Curry into a serving bowl.
Serve the Hariyali Egg Curry along with Malabar Parotta or  Whole Wheat Lachha Paratha and Burani Raita for a weeknight dinner.",Unknown
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,62.1594,2.1422,3.7531,2.318,"coriander (dhania) leaves,cucumber grind,salt,green,cumin powder,curd,gourd","To prepare gourd raita, prepare all the ingredients first.
Add grated gourd, cucumber, curd, green chillies, salt, cumin powder and coriander in a large bowl.
Mix well and your raita is ready.
Serve gourd raita with Garlic Dal, gourd elder greens and phulka for dinner.",Unknown
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,126.211,3.3409,13.7764,4.7557,"mango pulp (puree),milk cold milk,ice cubes,saffron strands,curd,badam (almond)","To begin making Kesar Mango Lassi Recipe, soak one pinch kesar in 2 tablespoons warm milk and keep it aside for few minutes.Get prep with other ingredients as well.
Take out the pulp from the mangoes and keep aside.In a blender, add mango pulp, curd/yogurt, cold milk and blend till combined.Once it is done, add chopped almonds (2 tablespoons), honey or sugar, some ice cubes and blend to make the Kesar Mango Lassi Recipe.Kesar Mango Lassi Recipe is ready to serve, garnish it with the rest of chopped almonds and saffron and serve with Bhel Puri Recipe or Asian Watermelon Salad Recipe during evening.",Unknown
Matar Samosa Recipe -Green Pea Samosa,359.6011,12.968,46.8386,12.8567,"salt,cinnamon powder (dalchini),amchur (dry mango powder),ghee,red chilli powder,green peas (matar),water,green chilli sauce,cumin seeds (jeera),flour (maida),garam masala powder,sunflower oil","To begin making the Matar Samosa Recipe first, mix together half a teaspoon of salt into the flour.
Rub ghee or vegetable shortening into the flour mixture, with your fingers until it resembles loose bread crumbs.Gradually add water, slowly, and knead to make a soft but firm dough.
Roll the dough into a ball, cover with a moist muslin cloth and keep aside.The next step is to make the filling.
In a kadai or heavy bottomed pan, warm the ghee, add the jeera and allow it to crackle and tip in the chilli paste.
Saute these together for a minute.Add peas followed by all the other spices and cook till the pea mixture becomes dry and all the water has dried up.
Season with salt and cook again for 2-3 minutes.
Set the peas mixture aside to cool down so it is easier to handle when shaping the samosas.Make a flour paste, by combining the flour and water.To begin making the samosa cases, divide the dough into small balls and roll them into thin circles.
Cut each rolled-out circle into two halves by running your knife down the center, so you have 2 semi-circles for each disc.
Roll the semi-circles into cones and using a teaspoon fill them with the peas mixture.Dab the flour paste along the edges of the open side of the cone, press the two edges together and seal.
Arrange the matar samosas in a platter and cover them with a moist muslin cloth.Heat oil for deep frying in a kadai on medium heat.
Deep fry the matar samosas in hot oil till they are golden brown.
Try not to fry too many together as it will crowd the kadai and alter the cooking time.Remove the Matar Samosa from the kadai using a slotted spoon and drain them on kitchen paper.
Matar Samosa  can be served with a dollop of Dhaniya Pudina Chutney and khajoor imli chutney or tomato ketchup, along with masala chai in the evening.",Unknown
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,74.3552,5.7171,8.7537,1.7383,"milk,water,saffron strands,tea leaves","To begin making the Kesar Chai, add water into a saucepan, along with the saffron strands and allow it to come to a brisk boil.Once it begins to boil; add the tea leaves.
Allow the tea leaves to simmer in the water for about a minute and turn off the heat.Once you add the tea leaves, allow it to brew just a little to ensure the tea stays light and does not turn bitter.Stir in the milk into the chai and allow it to rest for a few seconds.
Strain the Kesar chai into the cups and serve.
Add a few more saffron strands to the top while serving, this will give a great look and also add to the taste and flavor of the chai.Serve the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack.",Unknown
Dalia Pakora Recipe - Dalia Pakora Recipe,254.0138,4.1309,25.7681,14.8244,"salt,wheat (dalia godumai rava),water make pakora batter,enos fruit salt,green chilli,coriander (dhania) leaves,ajwain (carom seeds),sunflower oil the pakoras,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,sunflower oil","To make Oatmeal Pakora Recipe, we will first cook Dalia.
Wash the panel and keep it aside.
In a pressure cooker, add 2 cups of water, a little salt, oil, Dalia and mix.
Close the pressure cooker and cook until 4 to 5 come to the city.
Turn off the gas and let the pressure drain automatically.
Open the cooker and if there is still water left then keep stirring on high heat and cook until all the water is gone.
Take out the cooked pak in a large bowl and keep it aside to cool.
After cooling, add gram flour, onion, coriander, green chillies, salt, turmeric powder, cumin, celery, oil, water and make a thick batter.
Add ino fruit salt to it and mix.
Now heat a paniyaram pan.
Add oil to each cavity and after the oil is heated add a little oatmeal batter.
Cook until golden brown and crisp from all sides.
Serve.
You can also fry these pakodas in a pan.
Serve the dalia pakora recipe with coriander mint chutney and tamarind chutney.
You can also serve a hot cup of masala tea with it.",Unknown
Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,123.2884,6.0332,6.7641,8.2141,"tomato,salt,ginger,bay leaf (tej patta),paneer,potato (aloo),red chilli powder,dry red chilli,sugar,cumin seeds (jeera),panch phoran masala,turmeric powder,sunflower oil","To begin making the Chanar Dalna recipe, grind roasted cumin and grated ginger in a mortar pestle.Mix red chilly powder and turmeric in a tablespoon of water and set it aside.In a heavy bottomed pan heat oil, add cubed potatoes and fry till the edges turn brown.
Set it aside.Add Paneer cubes to the same oil and fry till they turn gold.
Set it aside.Add bay leaf and dry red chilly to the same pan.
Add cumin and ginger paste and saute till it turns brown.Add red chilly and turmeric paste and mix it well, till the raw smell is gone.Add chopped tomato and cook till it is cooked well and oil separates.
Add Paneer and Potato cubes to this.
Cook for a minute.Add 2 cups of water and cook till the potatoes are soft.
Add powdered paanch phoran and give it a good mix.Boil till the gravy till it reaches the desired consistency and turn off the heat.Serve Chanar Dalna with steamed rice and Bengali Luchi and Watermelon Smoothie Recipe for a weekend brunch.",Unknown
Tofu Pulao Recipe,221.3569,6.6394,25.578,10.2103,"turmeric powder,salt,tomato take,rice,ghee,capsicum (green) red yellow,red chilli powder,lentil sugar,ginger garlic paste,coriander,bay leaf,onion,coriander powder,tofu,green chillies,cumin seeds,garam masala powder","To make Tofu Casserole, first wash and soak the rice for 1/2 hour.
Drain and keep aside.
Heat the ghee in a saucepan.
After it gets hot, add cumin seeds and let it splutter.
Add onion, green chilli, ginger garlic paste and let it cook till the onion turns brown.
After that add tomatoes and capsicum to it and mix.
Add red chili powder, turmeric powder, coriander powder, garam masala powder and let it cook for 5 to 7 minutes.
After 7 minutes add salt to it with tofu and let it cook until the tofu turns light brown.
Add rice and 2 cups of water and mix.
Cover the pan and cook until the rice is cooked.
Turn off the gas after cooking.
Open after 5 minutes and garnish with green coriander.
Serve Tofu Casserole with Spinach Raita, Kachumbar Salad and Papad for day or dinner.",Unknown
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,288.5725,12.6533,28.1563,13.6286,"turmeric powder,salt,wheat flour,mango powder powder,ginger green chilli,red chilli powder,water,oil,coriander powder,cheese crumble,green peas","To make paneer and green pea paratha recipe, prepare all the ingredients first.
To make paratha flour: Now add wheat flour, salt, oil and mix in a bowl.
Add a little water and knead the dough.
Cover and keep aside.
To make the masala: Heat the oil in a pan.
Add cumin seeds and cook for a few seconds.
Now add ginger, green peas and cook half.
Now add cottage cheese, red chilli powder, coriander powder, mango powder, salt.
Mix well and keep aside.
Let it cool down.
Now take a little piece of flour and roll it out.
Place the mixture of paneer peas in the middle and close it from all sides.
Now coat it with dry flour.
Take the vine again.
Only fat, or else spices can come out.
Make all such parathas.
Heat a griddle.
Put paratha on it and apply ghee on top.
Cook till it turns golden brown from both sides and turn off the gas.
Serve Paneer and Hare Matar Paratha Recipe with Coriander Mint Chutney and Tadka Raita for an evening snack.",Unknown
